# scope over the work-directing documents -- TIP -- FORM P (review head)
# tool   examples/validation/scorecards/score_tools.py
# python Python 3.14.6 (/opt/homebrew/opt/python@3.14/bin/python3.14)
# root   /Users/hayde/IdeaProjects/wt-epic-stabilize-substrate-SS-04
# HEAD   f8f28911470acd5cb1a3ef52cdb6e5e4566b4abc
# dirty  YES
# list   /Users/hayde/IdeaProjects/wt-epic-stabilize-substrate-SS-04/specs/results/scorecards/stabilize-substrate/SS-04/work-directing-documents.txt

STABILIZE-SUBSTRATE-EPIC.md                                                    exit 0  15 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 15 UNREACHABLE
CUT-THE-APPARATUS-EPIC.md                                                      exit 0  7 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 7 UNREACHABLE
NEXT-EPIC.md                                                                   exit 1  157 counted figure(s): 3 REFUTED, 3 COUNT-MOVED, 0 HOLDS, 151 UNREACHABLE
specs/desired_program_model/ticket_plan.yaml                                   exit 0  48 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 48 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-four-results-still-stand/baseline.md exit 0  4 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 4 UNREACHABLE
specs/results/scorecards/cut-the-apparatus/CA-02/PRICE-TABLE.md                exit 0  12 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 12 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-counted-figures-reach-the-record/baseline.md exit 0  3 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 3 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-tree-stabilizes/baseline.md  exit 0  3 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 3 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-absent-input-consumed/baseline.md exit 0  4 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 4 UNREACHABLE
specs/results/scorecards/stabilize-substrate/GOAL-judged-goals-compliant/baseline.md exit 0  18 counted figure(s): 0 REFUTED, 0 COUNT-MOVED, 0 HOLDS, 18 UNREACHABLE

TOTAL counted figures over the list: 271
