Corpus: 1.35 GB, 999,635 cases (Internal view, 42,861 states)
max_internal_cases_per_component = 200  ->  over cap by 4998x

action                          cases  share
  RunSpecUnitTests            396,288   39.6%
  RunEffectConformance        171,424   17.1%
  RunKillTest                 128,568   12.9%
  AnalyzeComplexity            85,712    8.6%
  AnalyzeCorpus                85,712    8.6%
  InternalStutter              42,861    4.3%
  OpenTicket                   24,960    2.5%
  UpdateTicketDesired          24,960    2.5%
  UpdateTicketCurrent          24,960    2.5%
  CloseTicket                  13,824    1.4%
  ScaffoldWorkflow                360    0.0%
  ScaffoldProject                   2    0.0%
  RecordBudgets                     2    0.0%
  BuildSkillCli                     1    0.0%
  InstallLocalCli                   1    0.0%
